song_id,song_name,artist_name,artist_uri,album_name,album_uri,danceability,energy,valence,tempo,artist_popularity,degree_centrality
spotify:track:5IFCyWplye09HytIP80RCF,Too Close,Next,spotify:artist:2MGT7CYlixSPxAnnkhLpaA,Rated Next,spotify:album:3Pmonb2UZ9zckdh5S5ibVm,0.847,0.402,0.752,99.693,56,0.031716418
spotify:track:7kqcudBGM74MXVoYMaoWkC,Loyal,Chris Brown,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,X (Deluxe Version),spotify:album:4yOWnTrCkOOpl4IiVnpj3H,0.845,0.506,0.647,99.051,87,0.09141791
spotify:track:2DLsQuwxEdXt2yp54vw355,No Worries,Lil Wayne,spotify:artist:55Aa2cqylxrFIXC767Z865,I Am Not A Human Being II,spotify:album:4rhNBjL39LW5tuZgRShtnx,0.844,0.592,0.819,128.033,86,0.042910448
spotify:track:2ANLarE8yHVsLWW21nj79M,You Was Right,Lil Uzi Vert,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert Vs. The World,spotify:album:7mgdTKTCdfnLoa1HXHvLYM,0.843,0.359,0.156,81.987,84,0.02238806
spotify:track:6gBFPUFcJLzWGx4lenP6h2,goosebumps,Travis Scott,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,Birds In The Trap Sing McKnight,spotify:album:42WVQWuf1teDysXiOupIZt,0.841,0.728,0.43,130.049,94,0.063432836
spotify:track:51LIqkda3pTeECZUhMnool,Straightjacket,Quinn XCII,spotify:artist:3ApUX1o6oSz321MMECyIYd,The Story of Us,spotify:album:7j7cqgeWmYH9PbKe3S5oJj,0.838,0.546,0.745,137.027,64,0.059701493
spotify:track:5IMtdHjJ1OtkxbGe4zfUxQ,Escape (The Pina Colada Song),Rupert Holmes,spotify:artist:0TqIPD4IS1w4e30R38B3vj,Partners In Crime,spotify:album:163iYwl7Kdm9ayTnD4VyfN,0.836,0.509,0.949,138.714,60,0.016791045
spotify:track:2ouURa1AIXp3AvkS52Jry5,Every Morning,Sugar Ray,spotify:artist:4uN3DsfENc7dp0OLO0FEIb,14:59,spotify:album:43NNW7iDuAE8pIouzvwWWi,0.833,0.679,0.975,109.916,60,0.016791045
spotify:track:5mB1bWU8VueYVxuvcLPn2B,Do It Myself,Russ,spotify:artist:1z7b1Pr1rSlvWRzsW3HOrS,There's Really A Wolf,spotify:album:0lUL92det7mZ4DaHYmiUEC,0.831,0.558,0.338,141.974,75,0.063432836
spotify:track:07pJdL0L9XDGW0HBj0rIS2,Skateboard P (feat. Big Sean),MadeinTYO,spotify:artist:5SyGEPymt1G2uto47tVWvZ,Skateboard P (feat. Big Sean),spotify:album:6uFEjCm2whxWTQdFQ81wNQ,0.831,0.47,0.339,75.474,58,0.063432836
spotify:track:0zO8ctW0UiuOefR87OeJOZ,Collard Greens,ScHoolboy Q,spotify:artist:5IcR3N7QB1j6KBL8eImZ8m,Oxymoron,spotify:album:7Et3bSTLLqdABO1qCxUplS,0.825,0.575,0.65,153.954,74,0.02238806
spotify:track:4w7yrP4RAeeyhfG9nJqQvS,I Don't Fuck With You,Big Sean,spotify:artist:0c173mlxpT3dSFRgMO8XPh,Dark Sky Paradise,spotify:album:3QZ9gSv35M8vfQA127l3vn,0.823,0.733,0.397,97.972,76,0.082089552
spotify:track:0d28khcov6AiegSCpG5TuT,Feel Good Inc,Gorillaz,spotify:artist:3AA28KZvwAUcZuOKwyblJQ,Demon Days,spotify:album:0bUTHlWbkSQysoM3VsWldT,0.818,0.705,0.772,138.559,79,0.027985075
spotify:track:6b8Be6ljOzmkOmFslEb23P,24K Magic,Bruno Mars,spotify:artist:0du5cEVh5yTK9QJze8zA0C,24K Magic,spotify:album:4PgleR09JVnm3zY1fW3XBA,0.818,0.803,0.632,106.97,89,0.048507463
spotify:track:67awxiNHNyjMXhVgsHuIrs,Turn Down for What,DJ Snake,spotify:artist:540vIaP2JwjQb9dm3aArA4,Turn Down for What,spotify:album:3zo0Hxh9rjJsdw2JAKReE3,0.818,0.799,0.0815,100.014,78,0.027985075
spotify:track:1vvNmPOiUuyCbgWmtc6yfm,My Way,Calvin Harris,spotify:artist:7CajNmpbOovFoOoasH2HaY,My Way,spotify:album:0dzeoQhVNzKkwM5ieOJC54,0.818,0.913,0.536,119.986,86,0.139925373
spotify:track:7J41dYQolQJEtj3UmKLu5r,U Got It Bad,Usher,spotify:artist:23zg3TcAtWQy7J6upgbUnj,8701,spotify:album:6k16WXh4rKyusIoN00rmpi,0.816,0.5,0.649,124.037,83,0.09141791
spotify:track:2HHtWyy5CgaQbC7XSoOb0e,Eye of the Tiger,Survivor,spotify:artist:26bcq2nyj5GB7uRr558iQg,Eye Of The Tiger,spotify:album:4PT9VulQaQP6XR1xBI2x1W,0.815,0.438,0.552,108.965,68,0.050373134
spotify:track:0Fv5N0cHBsl4bzCbollCAS,Moves,Big Sean,spotify:artist:0c173mlxpT3dSFRgMO8XPh,I Decided.,spotify:album:0XAIjjN5qxViVS0Y5fYkar,0.812,0.522,0.38,75.524,76,0.063432836
spotify:track:43btz2xjMKpcmjkuRsvxyg,Jack & Diane,John Mellencamp,spotify:artist:3lPQ2Fk5JOwGWAF3ORFCqH,American Fool,spotify:album:4gouGcdQn9OvjX42xnWrF0,0.811,0.41,0.626,103.965,65,0.035447761
spotify:track:7hDc8b7IXETo14hHIHdnhd,Passionfruit,Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,More Life,spotify:album:7Ix0FS4f1lK42C3rix5rHg,0.809,0.463,0.364,111.98,96,0.063432836
spotify:track:2gam98EZKrF9XuOkU13ApN,Promiscuous,Nelly Furtado,spotify:artist:2jw70GZXlAI8QzWeY2bgRc,Loose,spotify:album:2yboV2QBcVGEhcRlYuPpDT,0.808,0.97,0.868,114.328,77,0.031716418
spotify:track:0lwkTJnLBVWvEnxtku7Msy,Alright,Logic,spotify:artist:4xRYI6VqpkE3UwrDrAZL8L,Under Pressure,spotify:album:1Mk7Lei0Ra3hawezqmad5V,0.807,0.693,0.142,127.035,74,0.063432836
spotify:track:4tCtwWceOPWzenK2HAIJSb,Work from Home,Fifth Harmony,spotify:artist:1l8Fu6IkuTP0U5QetQJ5Xt,Jul-27,spotify:album:0pF0oyuPNdOObniB1Ng0kW,0.803,0.585,0.593,105.017,69,0.048507463
spotify:track:5voKHxbIqgBU7fZMX8Lu0T,Superman,Eminem,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,The Eminem Show,spotify:album:1ftvBBcu7jYIvXyt3JWB8S,0.803,0.757,0.623,130.019,90,0.031716418
spotify:track:5bcfWAHLoMfGBdbeyoMaH3,Intoxicated - New Radio Mix,Martin Solveig,spotify:artist:1bj5GrcLom5gZFF5t949Xl,Intoxicated,spotify:album:5PvTsgzdPrTdYtcdIPoIFF,0.8,0.677,0.547,125.004,63,0.080223881
spotify:track:5HuqzFfq2ulY1iBAW5CxLe,Rather Be (feat. Jess Glynne),Clean Bandit,spotify:artist:6MDME20pz9RveH9rEXvrOM,I Cry When I Laugh,spotify:album:2xVeccmEU0zklK4XSKiDCW,0.799,0.586,0.549,120.97,74,0.09141791
spotify:track:5nkYHBWXu7KCgcdwP6jcB1,What I Got,Sublime,spotify:artist:0EdvGhlC1FkGItLOWQzG4J,Sublime,spotify:album:4R3tXoorBpHji6Jdms8a4Q,0.799,0.696,0.62,95.637,71,0.078358209
spotify:track:3lwrebzX6n6v4zP5DOqBKc,Hey Ma,Cam’ron,spotify:artist:7iMvwE8qANp3aIfAGKEAwS,Come Home With Me,spotify:album:39944ACXhgHs7gjXa5HehY,0.797,0.677,0.953,90.344,63,0.031716418
spotify:track:4MJlgdrGLaayCTPtdn0kII,Do What U Want,Lady Gaga,spotify:artist:1HY2Jd0NmPuamShAr6KMms,ARTPOP,spotify:album:535qZk6ycJqQaa5qFPmq3k,0.797,0.821,0.567,97.476,85,0.031716418
spotify:track:5dNfHmqgr128gMY2tc5CeJ,Ignition - Remix,R. Kelly,spotify:artist:2mxe0TnaNL039ysAj51xPQ,Chocolate Factory,spotify:album:35Ea7OWXZPZB1vAPiaEGOM,0.795,0.523,0.855,133.024,66,0.031716418
spotify:track:5LZQ5s0kRZS9nBSd1xLK7U,Trndsttr (feat. M. Maggie) - Lucian Remix,Black Coast,spotify:artist:4JMdvZoXArDVuMNNelKmjo,Trndsttr (feat. M. Maggie),spotify:album:5q3vgbTbWJut1Go3qzVgya,0.794,0.476,0.471,129.827,42,0.031716418
spotify:track:6fujklziTHa8uoM5OQSfIo,Black Beatles,Rae Sremmurd,spotify:artist:7iZtZyCzp3LItcw1wtPI3D,SremmLife 2,spotify:album:5v6iBhIlflzR9rEd1LAMbd,0.794,0.632,0.355,145.926,71,0.069029851
spotify:track:0tICYNayWWhH9GPeFrfjfD,This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,Kungs,spotify:artist:7keGfmQR4X5w0two1xKZ7d,Layers,spotify:album:3nxlM2DFwij3JVP55yNRya,0.793,0.729,0.488,121.972,71,0.14738806
spotify:track:1xznGGDReH1oQq0xzbwXa3,One Dance,Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,Views,spotify:album:3hARKC8cinq3mZLLAEaBh9,0.791,0.619,0.371,103.989,96,0.048507463
spotify:track:3G7XYAwtxtoGK7fAm4IlD9,Classic Man,Jidenna,spotify:artist:4TsHKU8l8Wq7n7OPVikirn,Classic Man,spotify:album:6WYHzLqNy9g3zNeqs9IwAA,0.79,0.585,0.585,94.072,51,0.050373134
spotify:track:1gcESexgftSuLuML57Y69q,All Right Now,Free,spotify:artist:2e53aHBQdCMKWqHDuyJsjC,Fire And Water,spotify:album:1ydlm89JR8cV8VuSaNvHNL,0.787,0.472,0.824,120.059,55,0.035447761
spotify:track:6cREm4bV7V79Yxdilx9HDo,Once In a While,Timeflies,spotify:artist:6dC0rIJNLSFZwqckLgXJ8p,Once In a While,spotify:album:7nsWIOWiX7Zt0AdR5imU50,0.786,0.687,0.345,105.021,49,0.110074627
spotify:track:5U8hKxSaDXB8cVeLFQjvwx,The Monster,Eminem,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,The Marshall Mathers LP2,spotify:album:3qGeRY1wt4rrLIt1YuSwHR,0.784,0.85,0.567,110.004,90,0.031716418
spotify:track:77oU2rjC5XbjQfNe3bD6so,Beast Of Burden - Remastered,The Rolling Stones,spotify:artist:22bE4uQ6baNwSHPVcDxLCe,Some Girls,spotify:album:1Jv2AqzhgsduUik2p4k3cS,0.783,0.878,0.885,100.626,80,0.020522388
spotify:track:2c8sgbZoEanC3QyFNZxUcA,Flexicution,Logic,spotify:artist:4xRYI6VqpkE3UwrDrAZL8L,Bobby Tarantino,spotify:album:0WMr3ulx5Mzi1B3C8LsHVA,0.782,0.713,0.68,159.839,74,0.063432836
spotify:track:3AYcyxEACnmE6d96RPubID,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,spotify:artist:5BcAKTbp20cv7tC5VqPFoC,The Heist [Deluxe Edition],spotify:album:0CoiTAUBiO70lic9p9Lboq,0.781,0.526,0.662,94.992,74,0.042910448
spotify:track:1Slwb6dOYkBlWal1PGtnNg,Thinking Out Loud,Ed Sheeran,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,x,spotify:album:6NoBzYmh5gUusGPCfg0pct,0.781,0.445,0.591,78.998,87,0.110074627
spotify:track:0SGkqnVQo9KPytSri1H6cF,Bounce Back,Big Sean,spotify:artist:0c173mlxpT3dSFRgMO8XPh,I Decided.,spotify:album:0XAIjjN5qxViVS0Y5fYkar,0.78,0.575,0.273,81.502,76,0.063432836
spotify:track:1r0faljjM2b876iNoaDUh5,Sacrifices,Big Sean,spotify:artist:0c173mlxpT3dSFRgMO8XPh,I Decided.,spotify:album:0XAIjjN5qxViVS0Y5fYkar,0.779,0.56,0.421,142.032,76,0.063432836
spotify:track:1OOtq8tRnDM8kG2gqUPjAj,Beat It - Single Version,Michael Jackson,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,Thriller 25 Super Deluxe Edition,spotify:album:1C2h7mLntPSeVYciMRTF4a,0.776,0.867,0.918,138.827,83,0.031716418
spotify:track:2HJQcyUpmUuvzS5vBAICIc,Working For It - Bonus Track,ZHU,spotify:artist:28j8lBWDdDSHSSt5oPlsX2,GENERATIONWHY,spotify:album:6Xhb46t8f3z8FkuXQAj4UV,0.776,0.715,0.502,99.951,64,0.080223881
spotify:track:7oGZAicScQt96OAW4AruYy,Want to Want Me,Jason Derulo,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y,Everything Is 4,spotify:album:59eUYETmE1zi31ESb3SUkI,0.775,0.68,0.656,114.025,79,0.09141791
spotify:track:7L9g4cPfohScjJ8mGwLQWr,TEMPTATION,Joey Bada$$,spotify:artist:2P5sC9cVZDToPxyomzF1UH,ALL-AMERIKKKAN BADA$$,spotify:album:6swV0WUnPygRIMgEKn6Ige,0.775,0.707,0.78,104.979,72,0.063432836
spotify:track:6I9VzXrHxO9rA9A5euc8Ak,Toxic,Britney Spears,spotify:artist:26dSoYclwsYLMAKD3tpOr4,In The Zone,spotify:album:0z7pVBGOD7HCIB7S8eLkLI,0.774,0.838,0.924,143.04,81,0.031716418
spotify:track:5GXAXm5YOmYT0kL5jHvYBt,I Feel It Coming,The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,Starboy,spotify:album:4AdZV63ycxFLF6Hcol0QnB,0.773,0.819,0.585,92.99,95,0.048507463
spotify:track:2k9N4caeCIJLOWwWwssrEM,Easily,Bruno Major,spotify:artist:0hDjKSKjl1DC7ovYTDJHe8,A Song For Every Moon,spotify:album:5UFBJXQtytWA9vfaO2DxLx,0.772,0.256,0.357,118.902,65,0.035447761
spotify:track:6nLvaCZFR1wEzW3sIKpsnr,"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",Amy Winehouse,spotify:artist:6Q192DXotxtaysaqNPy5yR,Back To Black,spotify:album:0E4xv5gPjykrwBgBZzI8XG,0.772,0.371,0.684,96.574,76,0.027985075
spotify:track:0jx8zY5JQsS4YEQcfkoc5C,Angels (feat. Saba),Chance The Rapper,spotify:artist:1anyVhU62p31KFi8MEzkbf,Coloring Book,spotify:album:71QyofYesSsRMwFOTafnhB,0.771,0.647,0.678,155.914,73,0.063432836
spotify:track:7ySUcLPVX7KudhnmNcgY2D,S&M,Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,Loud,spotify:album:5QG3tjE5L9F6O2vCAPph38,0.769,0.684,0.835,127.972,91,0.031716418
spotify:track:5afHIkEcVhCF1Z1CTqMUXB,Ain't Nobody (Loves Me Better),Felix Jaehn,spotify:artist:4bL2B6hmLlMWnUEZnorEtG,Ain't Nobody (Loves Me Better),spotify:album:3beitV4REkUMQn4BXZlD8F,0.768,0.567,0.471,117.974,74,0.031716418
spotify:track:1Ob94QesoxHSBrypyBbdfd,Shot Down,Khalid,spotify:artist:6LuN9FCkKOj5PcnpouEgny,American Teen,spotify:album:6kf46HbnYCZzP6rjvQHYzg,0.767,0.512,0.489,123.921,84,0.059701493
spotify:track:027h5P3kCyktHv9dpHUBBS,Why Don't You Get A Job,The Offspring,spotify:artist:5LfGQac0EIXyAN8aUwmNAQ,Americana,spotify:album:5Jf9wK4k3A1rdH8YSBQg0J,0.767,0.876,0.595,107.915,77,0.027985075
spotify:track:5cbpoIu3YjoOwbBDGUEp3P,Car Radio,Twenty One Pilots,spotify:artist:3YQKmKGau1PzlVlkL1iodx,Vessel,spotify:album:2r2r78NE05YjyHyVbVgqFn,0.766,0.519,0.612,129.972,82,0.057835821
spotify:track:7MooGz4ZPE4bNxjFegR6Jx,You Don't Know How It Feels,Tom Petty,spotify:artist:2UZMlIwnkgAEDBsw1Rejkn,Wildflowers,spotify:album:3ZGUBwDiY5HPOcWv4SBPQg,0.765,0.502,0.836,144.204,69,0.035447761
spotify:track:2BqQQXuBOuhaWeUP7okEx0,Comfortable,K CAMP,spotify:artist:5bgfj5zUoWpyeVatGDjn6H,Only Way Is Up,spotify:album:7lrsfwcRiLCeWFM3u38DzB,0.765,0.412,0.632,109.986,59,0.02238806
spotify:track:4osgfFTICMkcGbbigdsa53,Novacane,Frank Ocean,spotify:artist:2h93pZq0e7k5yf4dywlkpM,Novacane,spotify:album:3RYdEXhGHojkTILUdtnRVJ,0.762,0.508,0.37,93.51,85,0.018656716
spotify:track:0uVyZywUNOp6S0dU5r8TS8,Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,spotify:artist:50OApTJurDusIo9dGTqSU4,Prayer,spotify:album:1SrvubPy1Dg2BWJyTMcmgr,0.76,0.886,0.78,123.002,63,0.031716418
spotify:track:5l3CML2OnzfNs5RfVgbcLt,Talk Dirty (feat. 2 Chainz),Jason Derulo,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y,Tattoos,spotify:album:1OdcBxCNY52OXH0r4odXqP,0.76,0.652,0.759,100.315,79,0.031716418
spotify:track:4cxMGhkinTocPSVVKWIw0d,Losin Control,Russ,spotify:artist:1z7b1Pr1rSlvWRzsW3HOrS,There's Really A Wolf,spotify:album:0lUL92det7mZ4DaHYmiUEC,0.759,0.245,0.209,96.992,75,0.111940299
spotify:track:7GPstnufSTScEaw9dMxO9H,Childs Play (feat. Chance the Rapper),SZA,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,Z,spotify:album:2qCyMMQ785sPH4Yx25GQZ8,0.759,0.342,0.22,99.995,91,0.035447761
spotify:track:0OwX5aROoW1Iip8FV51Efg,Alarm,Anne-Marie,spotify:artist:1zNqDE7qDGCsyzJwohVaoX,Alarm,spotify:album:2Z3HQO6NL3812mnNj7htXv,0.756,0.589,0.811,146.928,78,0.080223881
spotify:track:40YcuQysJ0KlGQTeGUosTC,"Me, Myself & I",G-Eazy,spotify:artist:02kJSzxNuaWGqwubyUba0Z,When It's Dark Out,spotify:album:09Q3WwGYsQe5ognkvVkmCu,0.756,0.674,0.389,111.995,78,0.039179104
spotify:track:1iUoWD9qE93GyoT80O5IKt,Ooh Ahh (My Life Be Like) (feat. Toby Mac),Grits,spotify:artist:6aUgzC0cMh0StjV7LyFEDr,The Art of Translation,spotify:album:5WAGBm7u5rnDz0veMVF0zA,0.756,0.855,0.811,99.02,54,0.080223881
spotify:track:4Wxoq8aU3AWcXnuNn3FzOQ,Dum Dee Dum,Keys N Krates,spotify:artist:6c1pBXHYjFcGQQNO5MMsdd,Dum Dee Dum,spotify:album:4oC3Ri9NJOr0BAlKF51kjd,0.754,0.891,0.513,160.032,46,0.031716418
spotify:track:1jNOi6m3Hn8nLEeHCp5Msr,Seven Nation Army,The White Stripes,spotify:artist:4F84IBURUo98rz4r61KF70,Elephant,spotify:album:4teFaDSeFHYXZjZJaZGrAO,0.753,0.457,0.297,123.913,71,0.09141791
spotify:track:3SktMqZmo3M9zbB7oKMIF7,Gravity,John Mayer,spotify:artist:0hEurMDQu99nJRq8pTxO14,Continuum,spotify:album:1Xsprdt1q9rOzTic7b9zYM,0.753,0.326,0.237,123.799,77,0.11380597
spotify:track:2FviG1Ma0M0BSZbqaDvw0x,House Party,Sam Hunt,spotify:artist:2kucQ9jQwuD8jWdtR9Ef38,Montevallo,spotify:album:1M0vpI6KG4y0RwRuQ8SQxT,0.752,0.853,0.859,104.003,69,0.151119403
spotify:track:3pfXxHoydFRfD7IBGJTQAN,Pony,Ginuwine,spotify:artist:7r8RF1tN2A4CiGEplkp1oP,R&B: From Doo-Wop To Hip-Hop,spotify:album:3O2912EZv0FBJKZ0K5ruzK,0.749,0.605,0.966,142.024,65,0.031716418
spotify:track:05nbZ1xxVNwUTcGwLbp7CN,Myself,NAV,spotify:artist:7rkW85dBwwrJtlHRDkJDAC,NAV,spotify:album:4JR29CNW14Zc4Z5vflxkoJ,0.749,0.398,0.0859,80.032,72,0.063432836
spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,spotify:artist:69GGBxA162lTqCwzJG5jLp,Closer,spotify:album:0rSLgV8p5FzfnqlEk4GzxE,0.748,0.524,0.661,95.01,81,0.117537313
spotify:track:494OU6M7NOf4ICYb4zWCf5,Sugar,Maroon 5,spotify:artist:04gDigrS5kc9YWfZHwBETP,V,spotify:album:4KXLjIEas8MTwwX3xpmAdC,0.748,0.788,0.884,120.076,85,0.09141791
spotify:track:7675gjlUZzneYiMrQ9Inx8,Mama Said,Lukas Graham,spotify:artist:25u4wHJWxCA9vO0CzxAbK7,Lukas Graham (Blue Album),spotify:album:6NQ2RNksdSKdtnlFOLJo24,0.748,0.867,0.531,84.005,70,0.048507463
spotify:track:1jQsKN68yE94tMYml0wHMd,Jump Out The Window,Big Sean,spotify:artist:0c173mlxpT3dSFRgMO8XPh,I Decided.,spotify:album:0XAIjjN5qxViVS0Y5fYkar,0.747,0.704,0.494,136.936,76,0.063432836
