playlist_id,playlist_name,playlist_collab
3860,2015,false
3861,Dance Workout,false
3862,New Discoveries,false
3864,Bump,false
3871,80's ,false
3872,fire ,false
3874,Feels Good,false
3878,college rock,false
3883,broken. ,false
3898,Car Rides,false
3899,running,false
3900,my songs,false
3901,june '16,false
3907,COUNTRY,false
3915,chill,false
3917,80's dance,false
3924,ALT,false
3926,inD,false
3966,CLASSICS,false
3973,beach party,false
3977,THE PARTY,false
3988,Mashup,false
3999,other,false
